Column1,Column2
204,고등학교 특수학급 영어교육 실태와 개선방안 연구
205,초등학교 특수교육대상자 선정 과정 실태 및 개선요구에 관한 특수학급 교사들의 인식 분석 = An Analysis of Special Class Teachers' Perceptions of the Selection Process and Demands for Improvement for Special Education Candidate Children in Elementary School
206,청각장애 특수학교 개별화교육계획 수립과 운영에 대한 질적 연구 = A Qualitative Study on the Implementation and Operation of Individualized Education Plan in Special School for Students with Hearing Impairments
207,특수아 조기교육 교사들의 직무만족도에 관한 일연구 : 서울시내 사설 기관을 중심으로 = (A) Study on early intervention teacher's satisfaction on job in the private centers
208,韓國 特殊學級 敎育의 發展 過程에 關한 硏究
209,통합교육 운영에 관한 중학교 일반교사와 특수교사의 인식비교 = A Comparison of Perception on the  Inclusion between Teachers and Special Education Teachers in Middle School
210,특수교육보조원 운용에 대한 특수교사와 공익근무요원의 인식비교 : 광주광역시를 중심으로 = A Comparison of Perception on the Use of Paraprofassionals between Special Education Teachers and PISP in Gwangju
211,유아특수교육 실습의 실태 조사 = (A) survey on practicum in the field of Early Childhood Special Education
212,정신지체학교 특수교육교사의 자아개념과 직무스트레스 = Self-concepts and Job Stress of Teachers in Special School for Mentally Retarded
213,특수교육정책 평가 연구 : -「제4차 ('13-'17) 특수교육 발전 5개년 계획」을 중심으로 - = A Study on Evaluation of Special Education Policy : -Focusing on「The 4th ('13-'17) Special Education Development a five-year Plan」-
214,특수학급 학생의 과학교과교육 실태조사 = Current Status of Science Education at Special Classes for Students with Disabilities.
215,통합교육에 관한 특수교사의 인식 연구 = (The) perception of special educators on intergrated education
216,특수학교 중등부 기술·가정 교과교육 실태조사 = (A) Study on Current Situations of Technology and Home Economics in Middle School as a Subject Matter in a Special School
217,특수학급 정신지체아동의 치료적 미술교육 프로그램 개발 : 점토를 활용한 미술치료기법을 중심으로 = (The) Development of Therapeutic Art Education Program for the Mental Retardation in the Special Class : Based on the Art Therapy Thchniques Using Clay
218,특수학교 전공과 교사의 전문 교과 교육과정 운영경험 연구 : 수도권 특수학교 전공과 운영사례를 중심으로
219,청각장애 거점 특수교육지원센터 업무담당자가 경험하는 운영상의 어려움과 요구 = A Study on Difficulties and demands of Staff at the Characterized Special Education Support Center for Hearing impairments
220,유아특수교육기관 유형별 가족지원 서비스에 대한 발달지체유아 어머니의 욕구 조사 = The Needs on Family Support Service of Mothers Having Children with Developmental Delays According to The Type of Special Education in Institutions
